hood,pop_total,Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013),income_group,Bevölkerungsdichte,Wohnfläche je Einwohner/-in in m² (2016),Preise für Grundstücke in EUR/m² (Jan 2017),Preise für Ein- bzw Zweifamilienhäuser in EUR/m² (Jan 2017),share_Bevölkerung,share_Unter 18-Jährige,share_65-Jährige und Ältere,share_Ausländerinnen und Ausländer,share_Ausländeranteil in %,share_Bevölkerung mit Migrationshintergrund,share_Unter 18-Jährige mit Migrationshintergrund,share_Haushalte,share_Einpersonenhaushalte,share_Haushalte mit Kindern,share_Alleinerziehende,share_Fläche in km²,share_Geburten,share_Sterbefälle,share_Zuzüge,share_Fortzüge,share_Wanderungssaldo,share_Sozialversicherungspflichtig Beschäftigte (Dez 2016),share_Beschäftigtenquote in % (Dez 2016),share_Arbeitslose (Dez 2016),share_Arbeitslosenanteil in % (Dez 2016),share_Jüngere Arbeitslose (Dez 2016),share_Arbeitslosenanteil Jüngerer in % (Dez 2016),share_Ältere Arbeitslose (Dez 2016),share_Arbeitslosenanteil Älterer in % (Dez 2016),share_Leistungsempfänger/-innen nach SGB II (Dez 2016),share_Unter 15-Jährige in Mindestsicherung (Dez 2016),share_Bedarfsgemeinschaften nach SGB II (Dez 2016),share_Lohn- und Einkommenssteuerpflichtige (2013),share_Wohngebäude (2016),share_Wohnungen (2016),share_Bezugsfertige Wohnungen (2016),share_Wohnungen in Ein- und Zweifamilienhäusern (2016),share_Wohnungsgröße in m² (2016),share_Sozialwohnungen (Jan 2017),share_Sozialwohnungsanteil in % (Jan 2017),share_Sozialwohnungen mit Bindungsauslauf bis 2022,share_Sozialwohnungen mit Bindungsauslauf bis 2022 in %,share_Kindergärten und Vorschulklassen (März 2017),share_Grundschulen (2016/2017),share_Schülerinnen und Schüler der Sekundarstufe I (2016/2017),share_Niedergelassene Ärzte (Jan 2017),share_Allgemeinärzte (Jan 2017),share_Zahnärzte (Dez 2016),share_Apotheken (Dez 2016),share_Private PKW (Jan 2017),share_PKW-Dichte (Jan 2017),share_age0_3,share_age3_6,share_age6_12,share_age12_18,share_age18_20,share_age20_30,share_age30_45,share_age45_60,share_age60_65,share_age+65,share_f,share_m
Billbrook,2198,22625,0-30.000,350.0,8.5,203.0,,1.0,0.29526842584167423,0.05368516833484986,0.7911737943585078,0.035987261146496814,0.8507734303912647,0.2902638762511374,0.3289353958143767,0.2156505914467698,0.05686988171064604,0.014558689717925387,0.0028662420382165603,0.021383075523202913,0.004549590536851683,0.39990900818926295,0.37852593266606005,0.021383075523202913,0.20427661510464057,0.013421292083712465,0.0718835304822566,0.004731574158325751,0.0077343039126478615,0.0021383075523202914,0.012738853503184714,0.007097361237488626,0.4012738853503185,0.13330300272975432,0.15423111919927207,0.18334849863512284,0.03776160145586897,0.1292083712465878,0.0,0.03275705186533212,0.029936305732484077,0.0,0.0,0.0,0.0,0.00045495905368516835,0.00045495905368516835,0.09190172884440401,0.0,0.0,0.0,0.0,0.13967242948134667,0.06369426751592357,0.051865332120109194,0.05777979981801638,0.09599636032757052,0.08962693357597816,0.030937215650591446,0.17424931756141948,0.23521383075523203,0.17788898999090083,0.03275705186533212,0.05368516833484986,0.370336669699727,0.629663330300273
Billstedt,70234,23247,0-30.000,4150.0,32.5,319.0,2633.0,1.0,0.19276988353219238,0.18032576814648177,0.24748697212176438,0.0003516815217700829,0.563900674886807,0.14420366204402427,0.4955861833300111,0.2274966540422018,0.11182618105191218,0.034698294273428826,0.00024062419910584614,0.011006065438391662,0.008941538286300083,0.07953412876954181,0.08026027280234645,-0.0007261440328046245,0.34483298687245495,0.0007432297747529687,0.05760742660250021,0.00012387162912549476,0.004840960218697497,5.695247316114702e-05,0.009226300652105817,0.000105362075348122,0.2188825924765783,0.06449867585499901,0.10185949824871145,0.4143292422473446,0.11305065922487684,0.44975368055357806,0.0011532875815132271,0.08888857248626021,0.0010294159523877324,0.10829512771592106,0.0003431386507959108,0.03637839223168266,0.000478400774553635,0.0003559529572571689,0.00011390494632229404,0.06575163026454424,0.001395335592448102,0.0006691915596434775,0.0005695247316114703,0.00014238118290286757,0.310476407437993,0.004413816669988894,0.0324629097018538,0.03132386023863086,0.06323148332716348,0.06575163026454424,0.024503801577583507,0.1310618788620896,0.19894922687017683,0.2129737733861093,0.05941566762536663,0.18032576814648177,0.5031323860238631,0.49686761397613693
Billwerder,1584,30575,30.001-35.000,167.0,33.1,207.0,,1.0,0.1452020202020202,0.16414141414141414,0.26325757575757575,0.016603535353535353,0.34154040404040403,0.054924242424242424,0.4273989898989899,0.21464646464646464,0.07196969696969698,0.01452020202020202,0.005997474747474747,0.008838383838383838,0.008838383838383838,0.20517676767676768,0.18118686868686867,0.023989898989898988,0.27525252525252525,0.02417929292929293,0.025252525252525252,0.0022095959595959595,0.0,0.0,0.006313131313131313,0.0034090909090909094,0.07512626262626262,0.017045454545454544,0.04419191919191919,0.4059343434343434,0.24116161616161616,0.3529040404040404,0.0,0.2556818181818182,0.05921717171717172,0.0,0.0,0.0,0.0,0.0006313131313131314,0.0006313131313131314,0.049873737373737376,0.0,0.0,0.0,0.0,0.3661616161616162,0.23106060606060605,0.026515151515151516,0.020202020202020204,0.04671717171717172,0.05176767676767677,0.02335858585858586,0.125,0.24431818181818182,0.2455808080808081,0.052398989898989896,0.16414141414141414,0.4198232323232323,0.5801767676767676
Blankenese,13407,117139,>90.000,1733.0,59.3,1615.0,6834.0,1.0,0.1855746997836951,0.2723950175281569,0.0813754009099724,0.0006041620049228015,0.1711792347281271,0.04691579025882002,0.5172670992764974,0.23457895129410009,0.10658611173267696,0.018124860147684045,0.0005743268441858731,0.006936674871335869,0.007906317595286044,0.09219064667710897,0.0856269113149847,0.006563735362124263,0.2665771611844559,0.0034534198552994702,0.011188185276348177,0.00014171701350041023,0.00022376370552696352,2.2376370552696353e-05,0.00253598866263892,0.0001640933840531066,0.009472663533974789,0.0008204669202655329,0.0076825538897590815,0.4683374356679347,0.25270381144178417,0.5068993809204148,0.004176922503169986,0.23181919892593422,0.008726784515551577,0.002386812858954278,3.729395092116059e-05,0.0,0.0,0.0006712911165808906,0.00022376370552696352,0.060639964197807115,0.00820466920265533,0.0016409338405310658,0.0018646975460580293,0.00037293950921160585,0.4938464980980085,0.03684642351010666,0.023718952785858134,0.027597523681658836,0.06809875438203923,0.06615946893413888,0.01782650854031476,0.07279779219810546,0.1564108301633475,0.23838293428805848,0.05661221749832177,0.2723950175281569,0.531587976430223,0.46841202356977696
Borgfelde,7461,26217,0-30.000,9078.0,32.4,618.0,,1.0,0.11070902023857392,0.12290577670553546,0.28441227717464146,0.003806460260018764,0.4377429299021579,0.07787159898136979,0.5921458249564402,0.41683420453022385,0.05615869186436134,0.01648572577402493,0.00010722423267658491,0.013403029084573113,0.008175847741589599,0.26444176383862755,0.18362149845865167,0.08082026537997587,0.4268864763436537,0.007344859938346066,0.04154939016217665,0.000710360541482375,0.0045570298887548585,0.0003886878434526203,0.006969575123978019,0.0010588392976812761,0.11097708082026538,0.025063664388151722,0.06781932716793995,0.4882723495509985,0.05093151052137783,0.5863825224500737,0.008041817450743867,0.005227181342983514,0.007398472054684359,0.01742393780994505,0.0004020908725371934,0.0045570298887548585,0.0035115936201581557,0.0004020908725371934,0.0,0.025197694678997455,0.0006701514542286557,0.0002680605816914623,0.0005361211633829246,0.00013403029084573114,0.21753116204262163,0.029218603404369388,0.030290845731135236,0.021980967698699908,0.03096099718536389,0.027476209623374884,0.020774695081088326,0.2798552472858866,0.26310146093017023,0.1617745610507975,0.040879238707948,0.12290577670553546,0.48760219809676986,0.5123978019032301
Bramfeld,51858,30928,30.001-35.000,5152.0,38.0,444.0,3219.0,1.0,0.14543561263450192,0.2181148520961086,0.11404219214007481,0.00021983107717227815,0.2808438428014964,0.06533225346137529,0.5738748119865787,0.3066450692275059,0.09425739519456978,0.027266766940491342,0.00019476262100350956,0.010413051023950017,0.009834548189286127,0.09516371630220988,0.0799683751783717,0.015195341123838173,0.4044891819969918,0.0011801457827143353,0.03492228778587682,0.00010220216745728721,0.0029889313124300976,5.785028346638898e-05,0.0064213814647691774,9.834548189286126e-05,0.10260711944155193,0.025242007019167727,0.058370936017586486,0.5008677542519958,0.17380153496085465,0.5350572717806317,0.005476493501484824,0.1449149600833044,0.0013710517181534188,0.03654209572293571,0.0001311273091904817,0.0054572100736626945,0.000287323074549732,0.00046280226773111186,9.64171391106483e-05,0.044197616568321184,0.0013305565197269467,0.0005977862624860195,0.0006749199737745382,0.00017355085039916696,0.39907053877897336,0.007694087701029735,0.028173088048131435,0.02572409271472097,0.0449882371090285,0.046550194762621004,0.019071310116086235,0.13234216514327587,0.19686451463612173,0.23311735894172547,0.055054186432180185,0.2181148520961086,0.5156581433915692,0.4843418566084307
Cranz,826,31335,30.001-35.000,620.0,42.0,212.0,,1.0,0.14891041162227603,0.18159806295399517,0.2360774818401937,0.028571428571428574,0.3728813559322034,0.07990314769975787,0.576271186440678,0.3171912832929782,0.09079903147699758,0.024213075060532687,0.0015738498789346247,0.00847457627118644,0.013317191283292978,0.1937046004842615,0.1343825665859564,0.059322033898305086,0.4128329297820823,0.07203389830508475,0.04600484261501211,0.007990314769975786,0.0,0.0,0.006053268765133172,0.005447941888619854,0.11864406779661017,0.03268765133171913,0.06537530266343826,0.4576271186440678,0.2009685230024213,0.48062953995157387,0.0,0.17554479418886199,0.10569007263922518,0.0,0.0,0.0,0.0,0.0012106537530266344,0.0012106537530266344,0.044794188861985475,0.002421307506053269,0.002421307506053269,0.0,0.0,0.4092009685230024,0.49515738498789347,0.03026634382566586,0.023002421307506054,0.05205811138014528,0.043583535108958835,0.018159806295399514,0.14164648910411623,0.21912832929782083,0.2360774818401937,0.05447941888619855,0.18159806295399517,0.4515738498789346,0.5484261501210653
Curslack,3937,41512,40.001-45.000,372.0,38.7,247.0,,1.0,0.20040640081280162,0.15443230886461773,0.18211836423672847,0.004622809245618491,0.25806451612903225,0.07823215646431293,0.3937007874015748,0.1381762763525527,0.09601219202438405,0.01778003556007112,0.0026924053848107693,0.016256032512065022,0.006858013716027432,0.11328422656845313,0.11074422148844297,0.00254000508001016,0.3718567437134874,0.013944627889255778,0.026416052832105665,0.0009906019812039623,0.001016002032004064,0.0002032004064008128,0.004826009652019304,0.0009398018796037593,0.1031242062484125,0.03048006096012192,0.04495808991617983,0.4345948691897384,0.2395224790449581,0.36906273812547624,0.001016002032004064,0.24714249428498858,0.026619253238506477,0.004318008636017272,0.0003048006096012192,0.003048006096012192,0.01793243586487173,0.000254000508001016,0.000254000508001016,0.06604013208026416,0.002032004064008128,0.00127000254000508,0.0,0.000254000508001016,0.4523749047498095,0.11480822961645923,0.03860807721615443,0.031750063500127,0.06451612903225806,0.06553213106426213,0.024130048260096522,0.12725425450850902,0.1793243586487173,0.26238252476504953,0.05207010414020828,0.15443230886461773,0.4841249682499365,0.5158750317500636
Dulsberg,17326,21239,0-30.000,14134.0,33.0,736.0,,1.0,0.12518757936049868,0.12853514948632114,0.2097425834006695,0.001212051252452961,0.41977375043287546,0.08951864250259725,0.6926584324137135,0.49376659355881336,0.07843703105159876,0.034572319058063024,6.926007156874062e-05,0.010562160914232946,0.007560891146254184,0.13315248759090384,0.1326330370541383,0.0005194505367655546,0.4689484012466813,0.0035380353226364997,0.06775943668475123,0.0005136788641348262,0.00479048828350456,0.0002308669052291354,0.009811843472238254,0.0005771672630728385,0.1766131825002886,0.041786909846473506,0.10440955788987649,0.5133902805032898,0.061987764054022856,0.6199930739928431,0.0013274847050675285,0.00225095232598407,0.003076301512178229,0.06273808149601755,0.0005829389357035669,0.024241025049059218,0.0022278656354611567,0.0004617338104582708,0.0,0.040805725499249684,0.0013274847050675285,0.0004617338104582708,0.0005194505367655546,0.00017315017892185154,0.22359459771441764,0.012928546692831583,0.024010158143830083,0.022047789449382432,0.03942052406787487,0.039709107699411286,0.015468082650352072,0.22671130093501096,0.2679787602447189,0.1944476509292393,0.04167147639385894,0.12853514948632114,0.5044441879256608,0.49555581207433913
Duvenstedt,6247,65694,60.001-70.000,921.0,47.4,429.0,3530.0,1.0,0.21722426764847128,0.18937089803105492,0.07699695854009925,0.0012325916439891148,0.1536737634064351,0.05538658556106931,0.42052185048823437,0.12598047062590043,0.12518008644149192,0.022730910837201856,0.0010885224907955819,0.006723227149031535,0.005762766127741316,0.06371058107891787,0.06531134944773491,-0.0016007683688170323,0.32959820713942695,0.008275972466784057,0.01344645429806307,0.00033616135745157677,0.0024011525532255484,0.0003041459900752361,0.0019209220425804386,0.00024011525532255482,0.04434128381623179,0.015047222666880102,0.014727068993116696,0.4382903793821034,0.2838162317912598,0.4027533215943653,0.0033616135745157677,0.29069953577717306,0.01884104370097647,0.013126300624299665,0.0005282535617096206,0.0,0.0,0.00048023051064510964,0.00016007683688170322,0.08612133824235634,0.0020809988794621417,0.0008003841844085161,0.0011205378581719224,0.00048023051064510964,0.5162477989434929,0.08259964783095886,0.024331679206018888,0.032655674723867455,0.07331519129182007,0.08692172242676485,0.03185529053945894,0.08323995517848568,0.14358892268288778,0.29278053465663517,0.04194013126300624,0.18937089803105492,0.5184888746598367,0.48151112534016327
